country,movie,tvshow,total,Color
United States,2100,784,2884,#010101
India,883,73,956,#010102
United Kingdom,341,236,577,#010103
Canada,175,84,259,#010104
Japan,75,162,237,#010105
France,137,59,196,#010106
South Korea,42,152,194,#010107
Spain,119,49,168,#010108
Mexico,79,44,123,#010109
Australia,56,52,108,#010110
Turkey,78,28,106,#010111
Egypt,93,12,105,#010112
Germany,68,24,92,#010113
China,48,38,86,#010114
Taiwan,12,70,82,#010115
Brazil,52,27,79,#010116
Hong Kong,74,3,77,#010117
Indonesia,74,2,76,#010118
Philippines,74,1,75,#010119
Nigeria,63,8,71,#010120
